1, Bagel - Whole White Sesame, 97, 430, 11/01/2018
3, Shiratamako - Rice Flour, 71, 799, 03/07/2018
4, Tart - Raisin And Pecan, 86, 106, 01/18/2019
5, Radish, 22, 247, 11/06/2018
7, Red Currants, 49, 677, 10/01/2018
8, Soup - Base Broth Beef, 62, 544, 03/09/2019
9, Tomatoes Tear Drop Yellow, 73, 64, 02/09/2019
10, Mussels - Cultivated, 24, 934, 07/31/2018
11, Bread - Crumbs, Bulk, 88, 449, 01/12/2019
12, Beans - Long, Chinese, 47, 473, 09/22/2018
13, Beans - Navy, Dry, 44, 459, 01/20/2018
14, Juice - V8 Splash, 67, 114, 01/13/2018
15, Basil - Dry, Rubbed, 21, 869, 02/04/2018
16, Apple - Granny Smith, 72, 505, 01/12/2018
17, Lid - High Heat, Super Clear, 5, 123, 02/09/2018
18, Oranges - Navel, 46, 478, 06/06/2018
19, Berry Brulee, 50, 759, 08/25/2018
20, Lobster - Canned Premium, 57, 761, 04/15/2018
21, Sauce - Caesar Dressing, 16, 825, 04/10/2019
22, Ham - Procutinni, 8, 570, 01/09/2019
23, Veal - Ground, 5, 767, 12/19/2018
24, Oil - Cooking Spray, 6, 420, 06/11/2018
25, Extract - Vanilla,artificial, 20, 291, 06/08/2018
26, Mushroom - Porcini, Dry, 71, 814, 07/26/2018
27, Wine - Chateau Bonnet, 54, 741, 03/10/2018
